{'index': 1, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-04-24 23:16:09.978501', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 2, 'id': 'P1', 'condition': 'A0', 'pcd': 'VIL_MLONE_scene0003_00_initial.ply', 'time': '2023-04-24 23:16:12.448597', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 1, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-04-24 23:18:53.398298', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 1, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-04-24 23:20:25.887759', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 1, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:10:39.299133', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 2, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:10:41.555759', 'active': 'start', 'input': 'button_clicked', 'input_detail': 'button_start', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 3, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:10:42.190079', 'active': 'finished', 'input': 'button_clicked', 'input_detail': 'button_finished', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 1, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:11:01.668563', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 2, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:11:02.923089', 'active': 'start', 'input': 'button_clicked', 'input_detail': 'button_start', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 3, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:11:03.515576', 'active': 'finished', 'input': 'button_clicked', 'input_detail': 'button_finished', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 4, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:11:06.428637', 'active': 'button_class6', 'input': 'button_clicked', 'input_detail': 'button_class6', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
