{'index': 1, 'id': 'P1', 'condition': 'C2', 'pcd': 'aaraw_scene0059_01_2Anno.ply', 'time': '2023-04-24 23:18:35.973579', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 298.6000000000029, 'rot_y': 0.0, 'rot_z': 249.80000000000317, 'trans_x': -1.4629437303412067, 'trans_y': -2.248991506371489, 'trans_z': -11.274229132835886}
{'index': 1, 'id': 'P1', 'condition': 'C2', 'pcd': 'aaraw_scene0059_01_2Anno.ply', 'time': '2023-04-24 23:19:16.866281', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 298.6000000000029, 'rot_y': 0.0, 'rot_z': 249.80000000000317, 'trans_x': -1.4629437303412067, 'trans_y': -2.248991506371489, 'trans_z': -11.274229132835886}
{'index': 1, 'id': 'scene0011_00', 'condition': 'A2', 'pcd': 'raw_scene0011_00_2Anno.ply', 'time': '2023-04-24 23:19:55.992761', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 303.0000000000032, 'rot_y': 0.0, 'rot_z': 231.20000000000138, 'trans_x': -3.8844081209962416, 'trans_y': -0.8002430615353502, 'trans_z': -9.485779675951255}
{'index': 2, 'id': 'scene0011_00', 'condition': 'A2', 'pcd': 'VIL_MLONE_scene0011_00_2Anno.ply', 'time': '2023-04-24 23:19:59.420052', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 303.0000000000032, 'rot_y': 0.0, 'rot_z': 231.20000000000138, 'trans_x': -3.8844081209962416, 'trans_y': -0.8002430615353502, 'trans_z': -9.485779675951255}
{'index': 1, 'id': 'scene0011_00', 'condition': 'A2', 'pcd': 'raw_scene0011_00_2Anno.ply', 'time': '2023-04-24 23:22:10.333869', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 303.0000000000032, 'rot_y': 0.0, 'rot_z': 231.20000000000138, 'trans_x': -3.8844081209962416, 'trans_y': -0.8002430615353502, 'trans_z': -9.485779675951255}
{'index': 1, 'id': 'scene0003_00', 'condition': 'A2', 'pcd': 'aaraw_scene0003_00_2Anno.ply', 'time': '2023-04-24 23:22:36.790990', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 2, 'id': 'scene0003_00', 'condition': 'A2', 'pcd': 'aaraw_scene0003_00_2Anno.ply', 'time': '2023-04-24 23:22:37.131238', 'active': 'button_class12', 'input': 'button_clicked', 'input_detail': 'button_class12', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 1, 'id': 'scene0047_00', 'condition': 'A2', 'pcd': 'raw_scene0047_00_2Anno.ply', 'time': '2023-04-24 23:23:11.745720', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 310.99999999999966, 'rot_y': 0.0, 'rot_z': 311.5999999999975, 'trans_x': -3.307779840680122, 'trans_y': -2.281662753510798, 'trans_z': -9.96325866836708}
{'index': 2, 'id': 'scene0047_00', 'condition': 'A2', 'pcd': 'VIL_MLONE_scene0047_00_2Anno.ply', 'time': '2023-04-24 23:23:37.730329', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 310.99999999999966, 'rot_y': 0.0, 'rot_z': 311.5999999999975, 'trans_x': -3.307779840680122, 'trans_y': -2.281662753510798, 'trans_z': -9.96325866836708}
{'index': 3, 'id': 'scene0047_00', 'condition': 'A2', 'pcd': 'VIL_MLONE_scene0047_00_2Anno.ply', 'time': '2023-04-24 23:23:42.063353', 'active': 'pcd_rotation', 'input': 'mouse_move_event', 'input_detail': 'mouse_left_move', 'mouse_position_x': 85, 'mouse_position_y': 851, 'rot_x': 310.99999999999966, 'rot_y': 0.0, 'rot_z': 312.19999999999754, 'trans_x': -3.307779840680122, 'trans_y': -2.281662753510798, 'trans_z': -9.96325866836708}
{'index': 4, 'id': 'scene0047_00', 'condition': 'A2', 'pcd': 'VIL_MLONE_scene0047_00_2Anno.ply', 'time': '2023-04-24 23:23:46.558600', 'active': 'zoom_into', 'input': 'mouse_scroll_event', 'input_detail': 'mouse_scroll', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 306.3999999999996, 'rot_y': 0.0, 'rot_z': 338.9999999999977, 'trans_x': -3.307779840680122, 'trans_y': -2.281662753510798, 'trans_z': -9.66325866836708}
