{'index': 1, 'id': 'scene0011_00', 'condition': 'B0', 'pcd': 'aaraw_scene0011_00_initial.ply', 'time': '2023-04-24 23:21:11.638123', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 303.0000000000032, 'rot_y': 0.0, 'rot_z': 231.20000000000138, 'trans_x': -3.8844081209962416, 'trans_y': -0.8002430615353502, 'trans_z': -9.485779675951255}
{'index': 2, 'id': 'scene0011_00', 'condition': 'B0', 'pcd': 'cabinet_VIL_SLONE_class2_scene0011_00_initial.ply', 'time': '2023-04-24 23:21:20.455239', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 303.0000000000032, 'rot_y': 0.0, 'rot_z': 231.20000000000138, 'trans_x': -3.8844081209962416, 'trans_y': -0.8002430615353502, 'trans_z': -9.485779675951255}
{'index': 3, 'id': 'scene0011_00', 'condition': 'B0', 'pcd': 'door_VIL_SLONE_class7_scene0011_00_initial.ply', 'time': '2023-04-24 23:21:23.587167', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 303.0000000000032, 'rot_y': 0.0, 'rot_z': 231.20000000000138, 'trans_x': -3.8844081209962416, 'trans_y': -0.8002430615353502, 'trans_z': -9.485779675951255}
{'index': 4, 'id': 'scene0011_00', 'condition': 'B0', 'pcd': 'floor_VIL_SLONE_class0_scene0011_00_initial.ply', 'time': '2023-04-24 23:21:27.773969', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 303.0000000000032, 'rot_y': 0.0, 'rot_z': 231.20000000000138, 'trans_x': -3.8844081209962416, 'trans_y': -0.8002430615353502, 'trans_z': -9.485779675951255}
{'index': 5, 'id': 'scene0011_00', 'condition': 'B0', 'pcd': 'refrigerator_VIL_SLONE_class14_scene0011_00_initial.ply', 'time': '2023-04-24 23:21:28.994550', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 303.0000000000032, 'rot_y': 0.0, 'rot_z': 231.20000000000138, 'trans_x': -3.8844081209962416, 'trans_y': -0.8002430615353502, 'trans_z': -9.485779675951255}
{'index': 6, 'id': 'scene0011_00', 'condition': 'B0', 'pcd': 'wall_VIL_SLONE_class1_scene0011_00_initial.ply', 'time': '2023-04-24 23:21:31.352114', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 303.0000000000032, 'rot_y': 0.0, 'rot_z': 231.20000000000138, 'trans_x': -3.8844081209962416, 'trans_y': -0.8002430615353502, 'trans_z': -9.485779675951255}
{'index': 1, 'id': 'scene0011_00', 'condition': 'B2', 'pcd': 'aaraw_scene0011_00_2Anno.ply', 'time': '2023-04-24 23:22:03.458700', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 303.0000000000032, 'rot_y': 0.0, 'rot_z': 231.20000000000138, 'trans_x': -3.8844081209962416, 'trans_y': -0.8002430615353502, 'trans_z': -9.485779675951255}
{'index': 2, 'id': 'scene0011_00', 'condition': 'B2', 'pcd': 'cabinet_VIL_SLONE_class2_scene0011_00_2Anno.ply', 'time': '2023-04-24 23:22:14.353446', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 303.0000000000032, 'rot_y': 0.0, 'rot_z': 231.20000000000138, 'trans_x': -3.8844081209962416, 'trans_y': -0.8002430615353502, 'trans_z': -9.485779675951255}
{'index': 3, 'id': 'scene0011_00', 'condition': 'B2', 'pcd': 'chair_VIL_SLONE_class4_scene0011_00_2Anno.ply', 'time': '2023-04-24 23:22:15.949510', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 303.0000000000032, 'rot_y': 0.0, 'rot_z': 231.20000000000138, 'trans_x': -3.8844081209962416, 'trans_y': -0.8002430615353502, 'trans_z': -9.485779675951255}
{'index': 4, 'id': 'scene0011_00', 'condition': 'B2', 'pcd': 'door_VIL_SLONE_class7_scene0011_00_2Anno.ply', 'time': '2023-04-24 23:22:16.830295', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 303.0000000000032, 'rot_y': 0.0, 'rot_z': 231.20000000000138, 'trans_x': -3.8844081209962416, 'trans_y': -0.8002430615353502, 'trans_z': -9.485779675951255}
{'index': 5, 'id': 'scene0011_00', 'condition': 'B2', 'pcd': 'floor_VIL_SLONE_class0_scene0011_00_2Anno.ply', 'time': '2023-04-24 23:22:17.300670', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 303.0000000000032, 'rot_y': 0.0, 'rot_z': 231.20000000000138, 'trans_x': -3.8844081209962416, 'trans_y': -0.8002430615353502, 'trans_z': -9.485779675951255}
